Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Logistic Regression,0.7784,0.8284,0.5819,0.7369,0.6397,0.4851,0.4994,1.957
Linear Discriminant Analysis,0.7784,0.8304,0.5819,0.7327,0.6395,0.4848,0.4977,0.027
Ridge Classifier,0.7747,0.8306,0.5661,0.7344,0.6297,0.474,0.4883,0.039
Naive Bayes,0.7599,0.816,0.593,0.6858,0.6275,0.4537,0.4616,0.034
Quadratic Discriminant Analysis,0.7525,0.8166,0.5775,0.6718,0.6149,0.4356,0.4424,0.031
Extra Trees Classifier,0.7524,0.81,0.5605,0.6824,0.5995,0.4275,0.4427,0.174
Gradient Boosting Classifier,0.7449,0.8166,0.5398,0.6773,0.5874,0.4096,0.4239,0.145
Random Forest Classifier,0.7393,0.8114,0.5401,0.6601,0.5857,0.4005,0.4101,0.21
Ada Boost Classifier,0.7336,0.7854,0.5398,0.6396,0.5749,0.3865,0.3961,0.104
Light Gradient Boosting Machine,0.7225,0.7811,0.5506,0.6231,0.5779,0.3739,0.3804,0.413
K Neighbors Classifier,0.7116,0.7582,0.5205,0.6137,0.5531,0.3448,0.3539,1.192
Decision Tree Classifier,0.6944,0.6529,0.5173,0.5689,0.5379,0.3118,0.3144,0.035
Dummy Classifier,0.6518,0.5,0.0,0.0,0.0,0.0,0.0,0.027
SVM - Linear Kernel,0.5694,0.662,0.6307,0.4608,0.4685,0.1562,0.1922,0.031
